league,season,income,spending
IT3B,20/21,850000,1860000
IT3B,21/22,3950000,970000
IT3B,19/20,2251000,200000
IT3B,18/19,200000,51000
IT3B,22/23,50000,60000
NO1,20/21,10300000,0
NO1,21/22,12900000,0
NO1,19/20,400000,0
NO1,18/19,1110000,0
NO1,22/23,21450000,4000000
C3HF,20/21,0,4000000
C3HF,21/22,0,0
C3HF,19/20,0,0
C3HF,18/19,0,0
C3HF,22/23,0,0
PR1C,20/21,0,0
PR1C,21/22,2100000,0
PR1C,19/20,0,0
PR1C,18/19,0,0
PR1C,22/23,12410000,0
E4G3,20/21,0,0
E4G3,21/22,200000,0
E4G3,19/20,0,0
E4G3,18/19,0,0
E4G3,22/23,0,0
BRA4,20/21,0,0
BRA4,21/22,0,0
BRA4,19/20,7100000,0
BRA4,18/19,0,0
BRA4,22/23,0,0
L1,20/21,345520000,378400000
L1,21/22,517075000,504660000
L1,19/20,645895000,935590000
L1,18/19,565300000,546140000
L1,22/23,607160000,549665000
CN2C,20/21,5760000,0
CN2C,21/22,0,0
CN2C,19/20,0,0
CN2C,18/19,0,0
CN2C,22/23,0,0
MLS1,20/21,1897000,3270000
MLS1,21/22,47250000,22455000
MLS1,19/20,12320000,16420000
MLS1,18/19,40630000,931000
MLS1,22/23,44880000,26480000
IR1,20/21,0,0
IR1,21/22,400000,0
IR1,19/20,0,0
IR1,18/19,0,0
IR1,22/23,0,0
ES3D,20/21,0,0
ES3D,21/22,0,0
ES3D,19/20,0,0
ES3D,18/19,500000,0
ES3D,22/23,0,0
SC1,20/21,11000000,5980000
SC1,21/22,46000000,1200000
SC1,19/20,27000000,18550000
SC1,18/19,29950000,14900000
SC1,22/23,26950000,14700000
EC1N,20/21,28200000,0
EC1N,21/22,0,0
EC1N,19/20,0,450000
EC1N,18/19,2860000,1760000
EC1N,22/23,0,0
BU1,20/21,0,0
BU1,21/22,0,2700000
BU1,19/20,0,1450000
BU1,18/19,7000000,650000
BU1,22/23,3900000,1100000
PR1A,20/21,0,0
PR1A,21/22,0,0
PR1A,19/20,0,0
PR1A,18/19,2500000,0
PR1A,22/23,0,0
AZ1,20/21,0,0
AZ1,21/22,0,0
AZ1,19/20,0,300000
AZ1,18/19,0,0
AZ1,22/23,0,0
RLW3,20/21,0,0
RLW3,21/22,0,0
RLW3,19/20,0,0
RLW3,18/19,0,0
RLW3,22/23,180000,0
PO2,20/21,2789000,0
PO2,21/22,1200000,0
PO2,19/20,2000000,0
PO2,18/19,0,0
PO2,22/23,0,0
AJ2,20/21,0,0
AJ2,21/22,0,0
AJ2,19/20,0,0
AJ2,18/19,250000,0
AJ2,22/23,300000,0
IT3A,20/21,15600000,9400000
IT3A,21/22,8270000,4025000
IT3A,19/20,3210000,21492000
IT3A,18/19,325000,1760000
IT3A,22/23,3300000,350000
CNAT,20/21,0,0
CNAT,21/22,300000,0
CNAT,19/20,0,0
CNAT,18/19,0,0
CNAT,22/23,0,0
RO1,20/21,20100000,0
RO1,21/22,0,250000
RO1,19/20,2000000,0
RO1,18/19,3900000,0
RO1,22/23,4000000,0
CO2T,20/21,0,0
CO2T,21/22,0,0
CO2T,19/20,800000,0
CO2T,18/19,0,0
CO2T,22/23,2000000,0
NO2,20/21,0,0
NO2,21/22,500000,0
NO2,19/20,0,0
NO2,18/19,0,0
NO2,22/23,0,0
ISR2,20/21,0,0
ISR2,21/22,0,0
ISR2,19/20,0,0
ISR2,18/19,0,0
ISR2,22/23,2000000,0
ES3A,20/21,2800000,1000000
ES3A,21/22,0,0
ES3A,19/20,4500000,0
ES3A,18/19,7500000,0
ES3A,22/23,0,0
UNG1,20/21,0,0
UNG1,21/22,6000000,0
UNG1,19/20,0,0
UNG1,18/19,1000000,0
UNG1,22/23,2600000,0
TR1,20/21,21000000,5570000
TR1,21/22,6100000,17700000
TR1,19/20,64700000,22550000
TR1,18/19,38350000,6300000
TR1,22/23,48750000,46780000
USL,20/21,0,0
USL,21/22,0,0
USL,19/20,0,0
USL,18/19,0,200000
USL,22/23,0,0
DK1,20/21,0,0
DK1,21/22,0,0
DK1,19/20,0,0
DK1,18/19,1000000,0
DK1,22/23,0,0
KR1,20/21,9600000,550000
KR1,21/22,51800000,2800000
KR1,19/20,41600000,850000
KR1,18/19,45000000,1000000
KR1,22/23,25600000,4200000
DKDL,20/21,0,0
DKDL,21/22,2500000,0
DKDL,19/20,0,0
DKDL,18/19,0,0
DKDL,22/23,0,0
PL2,20/21,0,0
PL2,21/22,0,0
PL2,19/20,0,0
PL2,18/19,0,0
PL2,22/23,0,180000
ES3C,20/21,2500000,0
ES3C,21/22,0,0
ES3C,19/20,0,0
ES3C,18/19,5000000,0
ES3C,22/23,0,0
AJ3,20/21,0,0
AJ3,21/22,0,0
AJ3,19/20,0,0
AJ3,18/19,0,0
AJ3,22/23,1750000,0
AUS1,20/21,0,0
AUS1,21/22,0,0
AUS1,19/20,0,0
AUS1,18/19,890000,0
AUS1,22/23,350000,0
PL1,20/21,23600000,250000
PL1,21/22,15000000,0
PL1,19/20,9150000,1200000
PL1,18/19,19100000,0
PL1,22/23,16150000,1500000
COL1,20/21,0,0
COL1,21/22,0,0
COL1,19/20,2500000,0
COL1,18/19,0,0
COL1,22/23,0,0
ES1,20/21,560560000,424940000
ES1,21/22,243245000,372035000
ES1,19/20,1127300000,1532160000
ES1,18/19,856500000,1011900000
ES1,22/23,499550000,571840000
C3IF,20/21,250000,0
C3IF,21/22,0,0
C3IF,19/20,1500000,0
C3IF,18/19,0,0
C3IF,22/23,0,0
IT4F,20/21,0,0
IT4F,21/22,0,0
IT4F,19/20,93000,0
IT4F,18/19,0,0
IT4F,22/23,0,0
NL2,20/21,12500000,0
NL2,21/22,12515000,0
NL2,19/20,6150000,0
NL2,18/19,3000000,0
NL2,22/23,5750000,0
LET1,20/21,1500000,0
LET1,21/22,0,0
LET1,19/20,0,0
LET1,18/19,0,0
LET1,22/23,1520000,0
MAZ1,20/21,0,0
MAZ1,21/22,0,0
MAZ1,19/20,300000,0
MAZ1,18/19,0,0
MAZ1,22/23,0,0
PO1,20/21,184240000,35700000
PO1,21/22,109700000,14470000
PO1,19/20,451230000,76080000
PO1,18/19,190800000,22860000
PO1,22/23,481020000,41730000
C2,20/21,0,0
C2,21/22,0,0
C2,19/20,150000,0
C2,18/19,0,0
C2,22/23,0,0
JAP2,20/21,0,0
JAP2,21/22,0,0
JAP2,19/20,0,0
JAP2,18/19,0,0
JAP2,22/23,400000,0
FR2,20/21,53630000,4000000
FR2,21/22,35400000,2500000
FR2,19/20,100200000,8535000
FR2,18/19,55850000,1600000
FR2,22/23,57410000,4700000
SE1,20/21,0,0
SE1,21/22,1450000,0
SE1,19/20,2850000,2600000
SE1,18/19,13750000,0
SE1,22/23,24400000,1000000
BOS1,20/21,0,0
BOS1,21/22,0,0
BOS1,19/20,0,0
BOS1,18/19,0,0
BOS1,22/23,300000,0
ALB2,20/21,0,0
ALB2,21/22,0,0
ALB2,19/20,0,0
ALB2,18/19,0,0
ALB2,22/23,600000,0
UKR1,20/21,600000,0
UKR1,21/22,23800000,12000000
UKR1,19/20,0,1800000
UKR1,18/19,70000000,3000000
UKR1,22/23,119700000,0
GB3,20/21,4200000,0
GB3,21/22,0,0
GB3,19/20,5735000,150000
GB3,18/19,15700000,1240000
GB3,22/23,0,1200000
PT23,20/21,0,0
PT23,21/22,0,0
PT23,19/20,2665000,0
PT23,18/19,0,0
PT23,22/23,0,0
KR2,20/21,0,0
KR2,21/22,0,0
KR2,19/20,0,0
KR2,18/19,750000,0
KR2,22/23,0,0
-,20/21,9800000,0
-,21/22,700000,0
-,19/20,650000,0
-,18/19,2000000,0
-,22/23,0,300000
IJ1,20/21,0,0
IJ1,21/22,5410000,2500000
IJ1,19/20,11800000,1000000
IJ1,18/19,921000,0
IJ1,22/23,100000,0
UAE1,20/21,0,1500000
UAE1,21/22,0,4200000
UAE1,19/20,0,0
UAE1,18/19,0,0
UAE1,22/23,0,0
BRA2,20/21,6000000,0
BRA2,21/22,16000000,0
BRA2,19/20,2000000,0
BRA2,18/19,3000000,0
BRA2,22/23,3280000,0
SA1,20/21,0,1500000
SA1,21/22,0,4500000
SA1,19/20,0,17000000
SA1,18/19,4000000,31500000
SA1,22/23,0,0
MAR1,20/21,0,0
MAR1,21/22,0,0
MAR1,19/20,0,0
MAR1,18/19,1600000,0
MAR1,22/23,2700000,0
NL1,20/21,129500000,44440000
NL1,21/22,140450000,1000000
NL1,19/20,333300000,31200000
NL1,18/19,77250000,30300000
NL1,22/23,390420000,70790000
BE2,20/21,0,0
BE2,21/22,0,0
