Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Alphonso Davies,vancouver-whitecaps-fc,fc-bayern-munchen,,L1,14000000.0
18/19,Douglas Costa,fc-bayern-munchen,juventus-turin,L1,IT1,40000000.0
18/19,Arturo Vidal,fc-bayern-munchen,fc-barcelona,L1,ES1,18000000.0
18/19,Sebastian Rudy,fc-bayern-munchen,fc-schalke-04,L1,L1,16000000.0
18/19,Juan Bernat,fc-bayern-munchen,fc-paris-saint-germain,L1,FR1,5000000.0
18/19,Sandro Wagner,fc-bayern-munchen,tianjin-teda,L1,CSL,5000000.0
18/19,Sebastian Rudy,fc-bayern-munchen,fc-schalke-04,L1,L1,16000000.0
18/19,Suat Serdar,1-fsv-mainz-05,fc-schalke-04,L1,L1,11000000.0
18/19,Omar Mascarell,real-madrid,fc-schalke-04,ES1,L1,10000000.0
18/19,Rabbi Matondo,manchester-city-u23,fc-schalke-04,,L1,9000000.0
18/19,Salif Sané,hannover-96,fc-schalke-04,L1,L1,7000000.0
18/19,Hamza Mendyl,losc-lille,fc-schalke-04,FR1,L1,6000000.0
18/19,Steven Skrzybski,1-fc-union-berlin,fc-schalke-04,L2,L1,3200000.0
18/19,Thilo Kehrer,fc-schalke-04,fc-paris-saint-germain,L1,FR1,37000000.0
18/19,Benedikt Höwedes,fc-schalke-04,lokomotiv-moskau,L1,RU1,5000000.0
18/19,Naldo,fc-schalke-04,as-monaco,L1,FR1,2000000.0
18/19,Coke,fc-schalke-04,ud-levante,L1,ES1,1500000.0
18/19,Johannes Geis,fc-schalke-04,1-fc-koln,L1,L2,500000.0
18/19,Bernard Tekpetey,fc-schalke-04,sc-paderborn-07,L1,L2,150000.0
18/19,Kasim Adams,bsc-young-boys,tsg-1899-hoffenheim,C1,L1,8000000.0
18/19,Leonardo Bittencourt,1-fc-koln,tsg-1899-hoffenheim,L2,L1,6000000.0
18/19,Vincenzo Grifo,borussia-monchengladbach,tsg-1899-hoffenheim,L1,L1,5500000.0
18/19,Ishak Belfodil,standard-luttich,tsg-1899-hoffenheim,BE1,L1,5500000.0
18/19,Joshua Brenet,psv-eindhoven,tsg-1899-hoffenheim,NL1,L1,3500000.0
18/19,Lucas Ribeiro,esporte-clube-vitoria,tsg-1899-hoffenheim,BRA2,L1,3000000.0
18/19,Benedikt Gimber,tsg-1899-hoffenheim,fc-ingolstadt-04,L1,L2,1000000.0
18/19,Marvin Schwäbe,tsg-1899-hoffenheim,brondby-if,L1,DKMR,700000.0
18/19,Baris Atik,tsg-1899-hoffenheim,sg-dynamo-dresden,L1,L2,600000.0
18/19,Joshua Mees,tsg-1899-hoffenheim,1-fc-union-berlin,L1,L2,500000.0
18/19,Abdou Diallo,1-fsv-mainz-05,borussia-dortmund,L1,L1,28000000.0
18/19,Axel Witsel,tianjin-tianhai-2019-,borussia-dortmund,CSL,L1,20000000.0
18/19,Thomas Delaney,sv-werder-bremen,borussia-dortmund,L1,L1,20000000.0
18/19,Leonardo Balerdi,club-atletico-boca-juniors,borussia-dortmund,AR1N,L1,15500000.0
18/19,Marius Wolf,eintracht-frankfurt,borussia-dortmund,L1,L1,5000000.0
18/19,Christian Pulisic,borussia-dortmund,fc-chelsea,L1,GB1,64000000.0
18/19,Andriy Yarmolenko,borussia-dortmund,west-ham-united,L1,GB1,20000000.0
18/19,Sokratis Papastathopoulos,borussia-dortmund,fc-arsenal,L1,GB1,16000000.0
18/19,Mikel Merino,borussia-dortmund,newcastle-united,L1,GB1,7000000.0
18/19,Gonzalo Castro,borussia-dortmund,vfb-stuttgart,L1,L1,5000000.0
18/19,Nuri Şahin,borussia-dortmund,sv-werder-bremen,L1,L1,1000000.0
18/19,Paulinho,vasco-da-gama-rio-de-janeiro,bayer-04-leverkusen,BRA1,L1,18500000.0
18/19,Mitchell Weiser,hertha-bsc,bayer-04-leverkusen,L1,L1,12000000.0
18/19,Bernd Leno,bayer-04-leverkusen,fc-arsenal,L1,GB1,25000000.0
18/19,Benjamin Henrichs,bayer-04-leverkusen,as-monaco,L1,FR1,20000000.0
18/19,Amadou Haidara,red-bull-salzburg,rasenballsport-leipzig,A1,L1,19000000.0
18/19,Nordi Mukiele,montpellier-hsc,rasenballsport-leipzig,FR1,L1,16000000.0
18/19,Matheus Cunha,fc-sion,rasenballsport-leipzig,C1,L1,15000000.0
18/19,Marcelo Saracchi,club-atletico-river-plate,rasenballsport-leipzig,AR1N,L1,12000000.0
18/19,Tyler Adams,new-york-red-bulls,rasenballsport-leipzig,,L1,2630000.0
18/19,Naby Keïta,rasenballsport-leipzig,fc-liverpool,L1,GB1,60000000.0
18/19,Bernardo,rasenballsport-leipzig,brighton-amp-hove-albion,L1,GB1,10000000.0
18/19,Philipp Köhn,rasenballsport-leipzig,red-bull-salzburg,L1,A1,900000.0
18/19,Anthony Jung,rasenballsport-leipzig,brondby-if,L1,DKMR,800000.0
18/19,Agyemang Diawusie,rasenballsport-leipzig,fc-ingolstadt-04,L1,L2,500000.0
18/19,Benno Schmitz,rasenballsport-leipzig,1-fc-koln,L1,L2,200000.0
18/19,Zsolt Kalmár,rasenballsport-leipzig,dac-dunajska-streda,L1,SLO1,200000.0
18/19,Vitaly Janelt,rasenballsport-leipzig,vfl-bochum,L1,L2,150000.0
18/19,Nicolás González,argentinos-juniors,vfb-stuttgart,AR1N,L1,11260000.0
18/19,Ozan Kabak,galatasaray-istanbul,vfb-stuttgart,TR1,L1,11000000.0
18/19,Pablo Maffeo,manchester-city,vfb-stuttgart,GB1,L1,9000000.0
18/19,Borna Sosa,gnk-dinamo-zagreb,vfb-stuttgart,KR1,L1,6000000.0
18/19,Gonzalo Castro,borussia-dortmund,vfb-stuttgart,L1,L1,5000000.0
18/19,Roberto Massimo,arminia-bielefeld,vfb-stuttgart,L2,L1,2500000.0
