id,name,league
maccabi-haifa,Maccabi Haifa,ISR1
maccabi-tel-aviv,Maccabi Tel Aviv,ISR1
hapoel-tel-aviv,Hapoel Tel Aviv,ISR1
beitar-jerusalem,Beitar Jerusalem,ISR1
hapoel-beer-sheva,Hapoel Beer Sheva,ISR1
maccabi-petah-tikva,Maccabi Petah Tikva,ISR1
bnei-yehuda-tel-aviv,Bnei Yehuda Tel Aviv,ISR1
maccabi-netanya,Maccabi Netanya,ISR1
hapoel-haifa,Hapoel Haifa,ISR1
fc-ashdod,FC Ashdod,ISR1
hapoel-petah-tikva,Hapoel Petah Tikva,ISR1
ihud-bnei-sachnin,Ihud Bnei Sakhnin,ISR1
ironi-kiryat-shmona,Ironi Kiryat Shmona,ISR1
hapoel-kfar-saba,Hapoel Kfar Saba,ISR1
hapoel-rishon-lezion,Hapoel Rishon leZion,ISR1
maccabi-herzliya,Maccabi Herzliya,ISR1
hapoel-tzafririm-holon,Hapoel Tzafririm Holon,ISR1
hapoel-akko,Hapoel Acre,ISR1
hapoel-raanana,Hapoel Raanana,ISR1
hapoel-hadera,Hapoel Hadera,ISR1
hapoel-jerusalem-aufgel-,Hapoel Jerusalem (- 2019),ISR1
beitar-tel-aviv-bat-yam,Beitar Tel Aviv,ISR1
hapoel-beit-shean,Hapoel Beit Shean,ISR1
maccabi-ironi-ashdod,Maccabi Ironi Ashdod,ISR1
hapoel-ramat-hasharon,Hapoel Ramat haSharon,ISR1
hapoel-jerusalem,Hapoel Jerusalem,ISR1
hapoel-nof-hagalil,Hapoel Nof HaGalil,ISR1
hapoel-ashkelon,Hapoel Ashkelon,ISR1
hapoel-ramat-gan,Hapoel Ramat Gan,ISR1
maccabi-bnei-reineh,Maccabi Bnei Reineh,ISR1
hakoah-amidar-ramat-gan,Hakoah Amidar Ramat Gan,ISR1
sektzia-ness-ziona,Sekzia Ness Ziona,ISR1
maccabi-ahi-nazareth,Maccabi Ahi Nazareth,ISR1
maccabi-yavne,Maccabi Yavne,ISR1
maccabi-jaffa,Maccabi Jaffa,ISR1
ironi-kiryat-gat,Ironi Kiryat Gat,ISR1
hapoel-tayibe,Hapoel Tayibe,ISR1
rosenborg-bk,Rosenborg BK,NO1
molde-fk,Molde FK,NO1
lillestrom-sk,Lillestrøm SK,NO1
viking-stavanger,Viking FK,NO1
sk-brann,SK Brann,NO1
tromso-il,Tromsø IL,NO1
valerenga-fotball,Vålerenga Fotball Elite,NO1
stabaek-fotball,Stabæk Fotball,NO1
odds-bk,Odds BK,NO1
fk-bodo-glimt,FK Bodø/Glimt,NO1
stromsgodset-if,Strømsgodset IF,NO1
ik-start,IK Start,NO1
fk-haugesund,FK Haugesund,NO1
aalesunds-fk,Aalesunds FK,NO1
sogndal-il,Sogndal IL,NO1
sarpsborg-08-ff,Sarpsborg 08 FF,NO1
lyn-oslo,Lyn 1896 FK,NO1
kongsvinger-il,Kongsvinger IL,NO1
hamarkameratene,Hamarkameratene,NO1
sandefjord-fotball,Sandefjord Fotball,NO1
fredrikstad-fk,Fredrikstad FK,NO1
moss-fk,Moss FK,NO1
kristiansund-bk,Kristiansund BK,NO1
bryne-fk,Bryne FK,NO1
mjondalen-if,Mjøndalen IF,NO1
honefoss-bk,Hønefoss BK,NO1
sandnes-ulf,Sandnes Ulf,NO1
fyllingen-fotball,Fyllingen Fotball,NO1
ranheim-il,Ranheim IL,NO1
skeid-oslo,Skeid Oslo,NO1
il-hodd,IL Hødd,NO1
strommen-if,Strømmen IF,NO1
fk-jerv,FK Jerv,NO1
strindheim-il,Strindheim TF,NO1
fk-mjolner,FK Mjølner,NO1
sk-djerv-1919,SK Djerv 1919,NO1
kfum-kameratene-oslo,KFUM-Kameratene Oslo,NO1
fc-schalke-04-u19,FC Schalke 04 U19,AJ2
vfb-stuttgart-u19,VfB Stuttgart U19,AJ2
borussia-dortmund-u19,Borussia Dortmund U19,AJ2
bayer-04-leverkusen-u19,Bayer 04 Leverkusen U19,AJ2
sv-werder-bremen-u19,SV Werder Bremen U19,AJ2
hertha-bsc-u19,Hertha BSC U19,AJ2
fc-bayern-munchen-u19,FC Bayern Munich U19 ,AJ2
vfl-wolfsburg-u19,VfL Wolfsburg U19,AJ2
1-fc-koln-u19,1.FC Köln U19,AJ2
vfl-bochum-u19,VfL Bochum U19,AJ2
hannover-96-u19,Hannover 96 U19,AJ2
borussia-monchengladbach-u19,Borussia Mönchengladbach U19,AJ2
1-fsv-mainz-05-u19,1.FSV Mainz 05 U19,AJ2
hamburger-sv-u19,Hamburger SV U19,AJ2
sc-freiburg-u19,SC Freiburg U19,AJ2
tsg-1899-hoffenheim-u19,TSG 1899 Hoffenheim U19,AJ2
eintracht-frankfurt-u19,Eintracht Frankfurt U19,AJ2
1-fc-kaiserslautern-u19,1.FC Kaiserslautern U19,AJ2
karlsruher-sc-u19,Karlsruher SC U19,AJ2
tsv-1860-munchen-u19,TSV 1860 München U19,AJ2
1-fc-nurnberg-u19,1.FC Nürnberg U19,AJ2
spvgg-greuther-furth-u19,SpVgg Greuther Fürth U19,AJ2
fc-hansa-rostock-u19,FC Hansa Rostock U19,AJ2
msv-duisburg-u19,MSV Duisburg U19,AJ2
fortuna-dusseldorf-u19,Fortuna Düsseldorf U19,AJ2
fc-st-pauli-u19,FC St. Pauli U19,AJ2
fc-energie-cottbus-u19,FC Energie Cottbus U19,AJ2
arminia-bielefeld-u19,Arminia Bielefeld U19,AJ2
rasenballsport-leipzig-u19,RasenBallsport Leipzig U19,AJ2
fc-carl-zeiss-jena-u19,FC Carl Zeiss Jena U19,AJ2
rot-weiss-essen-u19,Rot-Weiss Essen U19,AJ2
vfl-osnabruck-u19,VfL Osnabrück U19,AJ2
1-fc-union-berlin-u19,1.FC Union Berlin U19,AJ2
fc-augsburg-u19,FC Augsburg U19,AJ2
holstein-kiel-u19,Holstein Kiel U19,AJ2
rot-weiss-erfurt-u19,Rot-Weiß Erfurt U19,AJ2
preussen-munster-u19,Preußen Münster U19,AJ2
alemannia-aachen-u19,Alemannia Aachen U19,AJ2
dynamo-dresden-u19,Dynamo Dresden U19,AJ2
stuttgarter-kickers-u19,Stuttgarter Kickers U19,AJ2
rot-weiss-oberhausen-u19,Rot-Weiß Oberhausen U19,AJ2
fc-ingolstadt-04-u19,FC Ingolstadt 04 U19,AJ2
eintracht-braunschweig-u19,Eintracht Braunschweig U19,AJ2
wuppertaler-sv-u19,Wuppertaler SV U19,AJ2
spvgg-unterhaching-u19,SpVgg Unterhaching U19,AJ2
rot-weiss-ahlen-u19,Rot Weiss Ahlen U19,AJ2
1-fc-heidenheim-1846-u19,1.FC Heidenheim 1846 U19,AJ2
bonner-sc-u19,Bonner SC U19,AJ2
tennis-borussia-berlin-u19,Tennis Borussia Berlin U19,AJ2
sg-wattenscheid-09-u19,SG Wattenscheid 09 U19,AJ2
sc-paderborn-07-u19,SC Paderborn 07 U19,AJ2
fc-viktoria-koln-u19,FC Viktoria Köln U19,AJ2
ssv-ulm-1846-u19,SSV Ulm 1846 U19,AJ2
chemnitzer-fc-u19,Chemnitzer FC U19,AJ2
hallescher-fc-u19,Hallescher FC U19,AJ2
1-fc-magdeburg-u19,1.FC Magdeburg U19,AJ2
kickers-offenbach-u19,Kickers Offenbach U19,AJ2
1-fc-saarbrucken-u19,1.FC Saarbrücken U19,AJ2
fc-hertha-03-zehlendorf-u19,FC Hertha 03 Zehlendorf U19,AJ2
sv-tasmania-berlin-u19,SV Tasmania Berlin U19,AJ2
sv-waldhof-mannheim-u19,SV Waldhof Mannheim U19,AJ2
sv-darmstadt-98-u19,SV Darmstadt 98 U19,AJ2
fc-sachsen-leipzig-u19,FC Sachsen Leipzig U19 (- 2011),AJ2
ssv-jahn-regensburg-u19,SSV Jahn Regensburg U19,AJ2
sc-borea-dresden-u19,SC Borea Dresden U19,AJ2
kfc-uerdingen-05-u19,KFC Uerdingen 05 U19,AJ2
fc-viktoria-1889-berlin-u19,FC Viktoria 1889 Berlin U19,AJ2
fc-astoria-walldorf-u19,FC-Astoria Walldorf U19,AJ2
sc-fortuna-koln-u19,SC Fortuna Köln U19,AJ2
1-fc-monchengladbach-u19,1.FC Mönchengladbach U19,AJ2
sv-meppen-u19,SV Meppen U19,AJ2
sv-wacker-burghausen-u19,SV Wacker Burghausen U19,AJ2
niendorfer-tsv-u19,Niendorfer TSV U19,AJ2
sv-wehen-wiesbaden-u19,SV Wehen Wiesbaden U19,AJ2
fsv-frankfurt-u19,FSV Frankfurt U19,AJ2
rasenballsport-leipzig-uefa-u19,RB Leipzig UEFA U19,AJ2
ssv-reutlingen-05-u19,SSV Reutlingen 05 U19,AJ2
hertha-bsc-uefa-u19,Hertha BSC UEFA U19,AJ2
tsv-havelse-u19,TSV Havelse U19,AJ2
1-fc-lokomotive-leipzig-u19,1.FC Lokomotive Leipzig U19,AJ2
fc-bayern-munchen-uefa-u19,Bayern Munich UEFA U19,AJ2
borussia-dortmund-uefa-u19,Borussia Dortmund UEFA U19,AJ2
vfl-leverkusen-u19,VfL Leverkusen U19 (- 2017),AJ2
freiburger-fc-u19,Freiburger FC U19,AJ2
sc-verl-u19,SC Verl U19,AJ2
vfb-lubeck-u19,VfB Lübeck U19,AJ2
1-fsv-mainz-05-uefa-u19,1.FSV Mainz 05 UEFA U19,AJ2
spvgg-erkenschwick-u19,SpVgg Erkenschwick U19,AJ2
vfl-wolfsburg-uefa-u19,VfL Wolfsburg UEFA U19,AJ2
sv-sandhausen-u19,SV Sandhausen U19,AJ2
offenburger-fv-u19,Offenburger FV U19,AJ2
sv-bergisch-gladbach-09-u19,SV Bergisch Gladbach 09 U19,AJ2
jfv-nordwest-u19,JFV Nordwest U19 (- 2023),AJ2
bayer-04-leverkusen-uefa-u19,Bayer 04 Leverkusen UEFA U19,AJ2
1-fc-union-berlin-uefa-u19,1.FC Union Berlin UEFA U19,AJ2
blau-weiss-90-berlin-u19,Blau-Weiß 90 Berlin U19,AJ2
eimsbutteler-tv-u19,Eimsbütteler TV U19,AJ2
tus-koblenz-u19,TuS Koblenz U19,AJ2
djk-arminia-klosterhardt-u19,DJK/Arminia Klosterhardt U19,AJ2
sv-eintracht-trier-05-u19,SV Eintracht Trier 05 U19,AJ2
concordia-hamburg-u19,Concordia Hamburg U19,AJ2
reinickendorfer-fuchse-u19,Reinickendorfer Füchse U19,AJ2
fc-08-villingen-u19,FC 08 Villingen U19,AJ2
arminia-hannover-u19,Arminia Hannover U19,AJ2
sv-rodinghausen-u19,SV Rödinghausen U19,AJ2
1-fc-koln-uefa-u19,1.FC Köln UEFA U19,AJ2
borussia-neunkirchen-u19,Borussia Neunkirchen U19,AJ2
berliner-ak-07-u19,Berliner AK 07 U19,AJ2
vfl-oldenburg-u19,VfL Oldenburg U19,AJ2
sc-vier-und-marschlande-u19,SC Vier- und Marschlande U19,AJ2
vfb-oldenburg-u19,VfB Oldenburg U19,AJ2
vfl-theesen-u19,VfL Theesen U19,AJ2
tsg-sprockhovel-u19,TSG Sprockhövel U19,AJ2
osc-bremerhaven-u19,OSC Bremerhaven U19,AJ2
ksv-baunatal-u19,KSV Baunatal U19,AJ2
fc-schalke-04-uefa-u19,FC Schalke 04 UEFA U19,AJ2
tus-altrip-u19,TuS Altrip U19,AJ2
vfr-solde-u19,VfR Sölde U19,AJ2
fv-lorrach-brombach-u19,FV Lörrach-Brombach U19,AJ2
spvgg-egc-wirges-u19,SpVgg EGC Wirges U19,AJ2
tsg-1899-hoffenheim-uefa-u19,TSG 1899 Hoffenheim UEFA U19,AJ2
vfb-03-hilden-u19,VfB 03 Hilden U19,AJ2
sv-98-schwetzingen-u19,SV 98 Schwetzingen U19,AJ2
asc-dudweiler-u19,ASC Dudweiler U19,AJ2
vfb-kiel-u19,VfB Kiel U19,AJ2
spvgg-andernach-u19-1999-,Spvgg Andernach U19 (- 1999),AJ2
sv-fraulautern-u19,SV Fraulautern U19,AJ2
sv-bliesen-u19,SV Bliesen U19,AJ2
borussia-monchengladbach-uefa-u19,Borussia Mönchengladbach UEFA U19,AJ2
ht-16-hamburg-u19,HT 16 Hamburg U19,AJ2
1-sc-roden-1910-u19,1.SC Roden 1910 U19,AJ2
sportfreunde-eisbachtal-u19,Sportfreunde Eisbachtal U19,AJ2
ksv-hessen-kassel-u19,KSV Hessen Kassel U19,AJ2
vfr-mannheim-u19,VfR Mannheim U19,AJ2
tus-mayen-u19,TuS Mayen U19,AJ2
