,name,id,logo_link
0,Bayern Munich,fc-bayern-munchen,https://tmssl.akamaized.net/images/wappen/head/27.png?lm=1498251238
1,Borussia Dortmund,borussia-dortmund,https://tmssl.akamaized.net/images/wappen/head/16.png?lm=1396275280
2,SV Werder Bremen,sv-werder-bremen,https://tmssl.akamaized.net/images/wappen/head/86.png?lm=1403082298
3,VfB Stuttgart,vfb-stuttgart,https://tmssl.akamaized.net/images/wappen/head/79.png?lm=1680587427
4,Borussia Mönchengladbach,borussia-monchengladbach,https://tmssl.akamaized.net/images/wappen/head/18.png?lm=1656585796
5,Hamburger SV,hamburger-sv,https://tmssl.akamaized.net/images/wappen/head/41.png?lm=1597319274
6,FC Schalke 04,fc-schalke-04,https://tmssl.akamaized.net/images/wappen/head/33.png?lm=1656580846
7,Eintracht Frankfurt,eintracht-frankfurt,https://tmssl.akamaized.net/images/wappen/head/24.png?lm=1700074979
8,1.FC Köln,1-fc-koln,https://tmssl.akamaized.net/images/wappen/head/3.png?lm=1656580823
9,Bayer 04 Leverkusen,bayer-04-leverkusen,https://tmssl.akamaized.net/images/wappen/head/15.png?lm=1710156317
10,1.FC Kaiserslautern,1-fc-kaiserslautern,https://tmssl.akamaized.net/images/wappen/head/2.png?lm=1580920736
11,Hertha BSC,hertha-bsc,https://tmssl.akamaized.net/images/wappen/head/44.png?lm=1656580875
12,VfL Bochum,vfl-bochum,https://tmssl.akamaized.net/images/wappen/head/80.png?lm=1656583090
13,1.FC Nuremberg,1-fc-nurnberg,https://tmssl.akamaized.net/images/wappen/head/4.png?lm=1525459914
14,VfL Wolfsburg,vfl-wolfsburg,https://tmssl.akamaized.net/images/wappen/head/82.png?lm=1503060755
15,Hannover 96,hannover-96,https://tmssl.akamaized.net/images/wappen/head/42.png?lm=1625590625
16,MSV Duisburg,msv-duisburg,https://tmssl.akamaized.net/images/wappen/head/52.png?lm=1689256606
17,Fortuna Düsseldorf,fortuna-dusseldorf,https://tmssl.akamaized.net/images/wappen/head/38.png?lm=1405514004
18,SC Freiburg,sc-freiburg,https://tmssl.akamaized.net/images/wappen/head/60.png?lm=1517249279
19,Karlsruher SC,karlsruher-sc,https://tmssl.akamaized.net/images/wappen/head/48.png?lm=1434793006
20,Eintracht Braunschweig,eintracht-braunschweig,https://tmssl.akamaized.net/images/wappen/head/23.png?lm=1545376138
21,TSV 1860 Munich,tsv-1860-munchen,https://tmssl.akamaized.net/images/wappen/head/72.png?lm=1403081335
22,1.FSV Mainz 05,1-fsv-mainz-05,https://tmssl.akamaized.net/images/wappen/head/39.png?lm=1564748880
23,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,https://tmssl.akamaized.net/images/wappen/head/533.png?lm=1675591766
24,Arminia Bielefeld,arminia-bielefeld,https://tmssl.akamaized.net/images/wappen/head/10.png?lm=1629204733
25,KFC Uerdingen 05,kfc-uerdingen-05,https://tmssl.akamaized.net/images/wappen/head/95.png?lm=1489161258
26,RB Leipzig,rasenballsport-leipzig,https://tmssl.akamaized.net/images/wappen/head/23826.png?lm=1619431624
27,FC Augsburg,fc-augsburg,https://tmssl.akamaized.net/images/wappen/head/167.png?lm=1656582897
28,FC Hansa Rostock,fc-hansa-rostock,https://tmssl.akamaized.net/images/wappen/head/30.png?lm=1468311994
29,SV Waldhof Mannheim,sv-waldhof-mannheim,https://tmssl.akamaized.net/images/wappen/head/85.png?lm=1403341696
30,Kickers Offenbach,kickers-offenbach,https://tmssl.akamaized.net/images/wappen/head/107.png?lm=1403943577
