,name,id,logo_link
0,Real Madrid,real-madrid,https://tmssl.akamaized.net/images/wappen/head/418.png?lm=1697726166
1,FC Barcelona,fc-barcelona,https://tmssl.akamaized.net/images/wappen/head/131.png?lm=1406739548
2,Atlético de Madrid,atletico-madrid,https://tmssl.akamaized.net/images/wappen/head/13.png?lm=1519120744
3,Athletic Bilbao,athletic-bilbao,https://tmssl.akamaized.net/images/wappen/head/621.png?lm=1695069038
4,Valencia CF,fc-valencia,https://tmssl.akamaized.net/images/wappen/head/1049.png?lm=1406966320
5,Sevilla FC,fc-sevilla,https://tmssl.akamaized.net/images/wappen/head/368.png?lm=1408655455
6,RCD Espanyol Barcelona,espanyol-barcelona,https://tmssl.akamaized.net/images/wappen/head/714.png?lm=1406966369
7,Real Sociedad,real-sociedad-san-sebastian,https://tmssl.akamaized.net/images/wappen/head/681.png?lm=1614795530
8,Real Betis Balompié,real-betis-sevilla,https://tmssl.akamaized.net/images/wappen/head/150.png?lm=1663358526
9,Real Zaragoza,real-saragossa,https://tmssl.akamaized.net/images/wappen/head/142.png?lm=1405877974
10,Celta de Vigo,celta-vigo,https://tmssl.akamaized.net/images/wappen/head/940.png?lm=1406966406
11,Deportivo de La Coruña,deportivo-la-coruna,https://tmssl.akamaized.net/images/wappen/head/897.png?lm=1563373966
12,Real Valladolid CF,real-valladolid,https://tmssl.akamaized.net/images/wappen/head/366.png?lm=1674414165
13,CA Osasuna,ca-osasuna,https://tmssl.akamaized.net/images/wappen/head/331.png?lm=1686070937
14,Sporting Gijón,sporting-gijon,https://tmssl.akamaized.net/images/wappen/head/2448.png?lm=1693991414
15,Racing Santander,racing-santander,https://tmssl.akamaized.net/images/wappen/head/630.png?lm=1407484479
16,Málaga CF,fc-malaga,https://tmssl.akamaized.net/images/wappen/head/1084.png?lm=1474921800
17,Real Oviedo,real-oviedo,https://tmssl.akamaized.net/images/wappen/head/2497.png?lm=1417193316
18,RCD Mallorca,rcd-mallorca,https://tmssl.akamaized.net/images/wappen/head/237.png?lm=1407484750
19,UD Las Palmas,ud-las-palmas,https://tmssl.akamaized.net/images/wappen/head/472.png?lm=1407484865
20,Villarreal CF,fc-villarreal,https://tmssl.akamaized.net/images/wappen/head/1050.png?lm=1408655310
21,Granada CF,fc-granada,https://tmssl.akamaized.net/images/wappen/head/16795.png?lm=1695756624
22,Elche CF,fc-elche,https://tmssl.akamaized.net/images/wappen/head/1531.png?lm=1421955260
23,Getafe CF,fc-getafe,https://tmssl.akamaized.net/images/wappen/head/3709.png?lm=1408655116
24,Rayo Vallecano,rayo-vallecano,https://tmssl.akamaized.net/images/wappen/head/367.png?lm=1653488445
25,Deportivo Alavés,deportivo-alaves,https://tmssl.akamaized.net/images/wappen/head/1108.png?lm=1596131395
26,Hércules CF,hercules-alicante,https://tmssl.akamaized.net/images/wappen/head/7971.png?lm=1437942824
27,Levante UD,ud-levante,https://tmssl.akamaized.net/images/wappen/head/3368.png?lm=1408655062
28,CD Tenerife,cd-teneriffa,https://tmssl.akamaized.net/images/wappen/head/648.png?lm=1578091884
29,Cádiz CF,fc-cadiz,https://tmssl.akamaized.net/images/wappen/head/2687.png?lm=1683542431
30,Real Murcia CF,real-murcia,https://tmssl.akamaized.net/images/wappen/head/171.png?lm=1649076153
31,CE Sabadell FC,ce-sabadell,https://tmssl.akamaized.net/images/wappen/head/11422.png?lm=1648321260
32,UD Salamanca (- 2013),ud-salamanca-aufgel-,https://tmssl.akamaized.net/images/wappen/head/1087.png?lm=1475875506
33,CD Castellón,cd-castellon,https://tmssl.akamaized.net/images/wappen/head/2502.png?lm=1648726491
34,CD Logroñés (- 2009),cd-logrones-aufgel-,https://tmssl.akamaized.net/images/wappen/head/236.png?lm=1566636414
35,Córdoba CF,fc-cordoba,https://tmssl.akamaized.net/images/wappen/head/993.png?lm=1458766826
36,Albacete Balompié,albacete-balompie,https://tmssl.akamaized.net/images/wappen/head/1532.png?lm=1407563756
37,SD Eibar,sd-eibar,https://tmssl.akamaized.net/images/wappen/head/1533.png?lm=1695052531
38,UD Almería,ud-almeria,https://tmssl.akamaized.net/images/wappen/head/3302.png?lm=1695683818
39,Burgos CF,burgos-cf,https://tmssl.akamaized.net/images/wappen/head/1536.png?lm=1695651736
40,Girona FC,fc-girona,https://tmssl.akamaized.net/images/wappen/head/12321.png?lm=1659464404
41,Pontevedra CF,pontevedra-cf,https://tmssl.akamaized.net/images/wappen/head/5650.png?lm=1437941950
42,SD Compostela,sd-compostela,https://tmssl.akamaized.net/images/wappen/head/2855.png?lm=1620472465
43,Recreativo Huelva,recreativo-huelva,https://tmssl.akamaized.net/images/wappen/head/2867.png?lm=1437976746
44,CD Leganés,cd-leganes,https://tmssl.akamaized.net/images/wappen/head/1244.png?lm=1422972468
45,Arenas Club,arenas-club,https://tmssl.akamaized.net/images/wappen/head/16122.png?lm=1706197149
46,CD Numancia,cd-numancia,https://tmssl.akamaized.net/images/wappen/head/2296.png?lm=1438505132
47,Real Burgos CF (-2021),real-burgos-cf,https://tmssl.akamaized.net/images/wappen/head/57429.png?lm=1481750759
48,Gimnàstic de Tarragona,gimnastic-de-tarragona,https://tmssl.akamaized.net/images/wappen/head/5648.png?lm=1437940874
49,CD Alcoyano,cd-alcoyano,https://tmssl.akamaized.net/images/wappen/head/11259.png?lm=1611225345
50,Real Jaén CF,real-jaen,https://tmssl.akamaized.net/images/wappen/head/666.png?lm=1437977370
51,CF Extremadura (- 2010),cf-extremadura-aufgel-,https://tmssl.akamaized.net/images/wappen/head/811.png?lm=1468151471
52,CP Mérida (- 2000),cp-merida-aufgel-,https://tmssl.akamaized.net/images/wappen/head/38011.png?lm=1438119458
53,Real Unión Club,real-union-club,https://tmssl.akamaized.net/images/wappen/head/12405.png?lm=1437943370
54,AD Almería (-1982),ad-almeria-aufgel-,https://tmssl.akamaized.net/images/wappen/head/42811.png?lm=1457444403
