,name,id,logo_link
0,Olympique Marseille,olympique-marseille,https://tmssl.akamaized.net/images/wappen/head/244.png?lm=1485642163
1,FC Girondins Bordeaux,fc-girondins-bordeaux,https://tmssl.akamaized.net/images/wappen/head/40.png?lm=1627322046
2,AS Monaco,as-monaco,https://tmssl.akamaized.net/images/wappen/head/162.png?lm=1654781919
3,AS Saint-Étienne,as-saint-etienne,https://tmssl.akamaized.net/images/wappen/head/618.png?lm=1658260152
4,Olympique Lyon,olympique-lyon,https://tmssl.akamaized.net/images/wappen/head/1041.png?lm=1656668172
5,LOSC Lille,losc-lille,https://tmssl.akamaized.net/images/wappen/head/1082.png?lm=1529521041
6,Paris Saint-Germain,fc-paris-saint-germain,https://tmssl.akamaized.net/images/wappen/head/583.png?lm=1522312728
7,OGC Nice,ogc-nizza,https://tmssl.akamaized.net/images/wappen/head/417.png?lm=1408779490
8,FC Sochaux-Montbéliard,fc-sochaux-montbeliard,https://tmssl.akamaized.net/images/wappen/head/750.png?lm=1439104427
9,FC Nantes,fc-nantes,https://tmssl.akamaized.net/images/wappen/head/995.png?lm=1581355747
10,Stade Rennais FC,fc-stade-rennes,https://tmssl.akamaized.net/images/wappen/head/273.png?lm=1691503972
11,RC Lens,rc-lens,https://tmssl.akamaized.net/images/wappen/head/826.png?lm=1595457059
12,RC Strasbourg Alsace,rc-strassburg-alsace,https://tmssl.akamaized.net/images/wappen/head/667.png?lm=1664991833
13,FC Metz,fc-metz,https://tmssl.akamaized.net/images/wappen/head/347.png?lm=1625391843
14,Stade Reims,stade-reims,https://tmssl.akamaized.net/images/wappen/head/1421.png?lm=1592601839
15,Montpellier HSC,montpellier-hsc,https://tmssl.akamaized.net/images/wappen/head/969.png?lm=1459072367
16,AJ Auxerre,aj-auxerre,https://tmssl.akamaized.net/images/wappen/head/290.png?lm=1635851977
17,Nîmes Olympique,nimes-olympique,https://tmssl.akamaized.net/images/wappen/head/1160.png?lm=1526910377
18,SC Bastia,sc-bastia,https://tmssl.akamaized.net/images/wappen/head/595.png?lm=1693143302
19,FC Toulouse,fc-toulouse,https://tmssl.akamaized.net/images/wappen/head/415.png?lm=1530117274
20,Racing Club de France,racing-club-de-france-football,https://tmssl.akamaized.net/images/wappen/head/3318.png?lm=1705319798
21,Valenciennes FC,fc-valenciennes,https://tmssl.akamaized.net/images/wappen/head/1423.png?lm=1408780358
22,AS Nancy-Lorraine,as-nancy-lorraine,https://tmssl.akamaized.net/images/wappen/head/1159.png?lm=1529961068
23,Angers SCO,sco-angers,https://tmssl.akamaized.net/images/wappen/head/1420.png?lm=1687525425
24,CS Sedan-Ardennes,cs-sedan-ardennes,https://tmssl.akamaized.net/images/wappen/head/1081.png?lm=1656488195
25,Le Havre AC,ac-le-havre,https://tmssl.akamaized.net/images/wappen/head/738.png?lm=1408780648
26,Toulouse FC (- 1967),toulouse-fc,https://tmssl.akamaized.net/images/wappen/head/57855.png?lm=1485456080
27,AS Cannes,as-cannes,https://tmssl.akamaized.net/images/wappen/head/895.png?lm=1675856288
28,FC Rouen 1899,fc-rouen-1899,https://tmssl.akamaized.net/images/wappen/head/1564.png?lm=1662479309
29,Stade Brestois 29,stade-brest-29,https://tmssl.akamaized.net/images/wappen/head/3911.png?lm=1408780312
30,SM Caen,sm-caen,https://tmssl.akamaized.net/images/wappen/head/1162.png?lm=1692825012
31,FC Lorient,fc-lorient,https://tmssl.akamaized.net/images/wappen/head/1158.png?lm=1406642498
32,Sporting Club Sétois,fc-sete-34,https://tmssl.akamaized.net/images/wappen/head/3520.png?lm=1620761688
33,ESTAC Troyes,es-troyes-ac,https://tmssl.akamaized.net/images/wappen/head/1095.png?lm=1599945497
34,FC Nancy,fc-nancy,https://tmssl.akamaized.net/images/wappen/head/30944.png?lm=1457444342
35,Stade Français,stade-francais,https://tmssl.akamaized.net/images/wappen/head/21816.png?lm=1544222796
36,Stade Lavallois,stade-laval,https://tmssl.akamaized.net/images/wappen/head/1080.png?lm=1683046487
37,EA Guingamp,ea-guingamp,https://tmssl.akamaized.net/images/wappen/head/855.png?lm=1669659728
38,Red Star FC,red-star-fc,https://tmssl.akamaized.net/images/wappen/head/1154.png?lm=1609759172
39,AC Ajaccio,ac-ajaccio,https://tmssl.akamaized.net/images/wappen/head/1147.png?lm=1408538965
40,Sporting Club de Toulon,sporting-club-de-toulon,https://tmssl.akamaized.net/images/wappen/head/494.png?lm=1497434475
41,Club Olympique de Roubaix-Tourcoing,club-olympique-de-roubaix-tourcoing,https://tmssl.akamaized.net/images/wappen/head/100990.png?lm=1658494797
42,Olympique lillois,olympique-lillois,https://tmssl.akamaized.net/images/wappen/head/60836.png?lm=1499521253
43,Excelsior AC Roubaix,excelsior-ac-roubaix,https://tmssl.akamaized.net/images/wappen/head/101982.png?lm=1711123141
44,Sporting Club fivois,sporting-club-fivois,https://tmssl.akamaized.net/images/wappen/head/57854.png?lm=1499522315
45,Le Mans FC,le-mans-fc,https://tmssl.akamaized.net/images/wappen/head/1164.png?lm=1459583517
46,FC Antibes,fc-antibes-juan-les-pins,https://tmssl.akamaized.net/images/wappen/head/37393.png?lm=1671784346
47,Dijon FCO,dijon-fco,https://tmssl.akamaized.net/images/wappen/head/2969.png?lm=1711120027
48,FC Mulhouse,fc-mulhouse,https://tmssl.akamaized.net/images/wappen/head/1774.png?lm=1706872385
49,Thonon Évian Grand Genève FC,thonon-evian-grand-geneve-fc,https://tmssl.akamaized.net/images/wappen/head/14171.png?lm=1592499295
50,Tours FC,fc-tours,https://tmssl.akamaized.net/images/wappen/head/3161.png?lm=1408780690
51,Olympique Alès,olympique-ales,https://tmssl.akamaized.net/images/wappen/head/2618.png?lm=1692825777
52,Grenoble Foot 38,grenoble-foot-38,https://tmssl.akamaized.net/images/wappen/head/1290.png?lm=1711388247
53,Limoges FC,limoges-fc,https://tmssl.akamaized.net/images/wappen/head/7723.png?lm=1438640292
54,Angoulême Charente FC,angouleme-charente-fc,https://tmssl.akamaized.net/images/wappen/head/3915.png?lm=1617899387
55,Paris FC,paris-fc,https://tmssl.akamaized.net/images/wappen/head/10004.png?lm=1411995262
56,Clermont Foot 63,clermont-foot-63,https://tmssl.akamaized.net/images/wappen/head/3524.png?lm=1625739356
57,FC Martigues,fc-martigues,https://tmssl.akamaized.net/images/wappen/head/1165.png?lm=1617911075
58,Amiens SC,amiens-sc,https://tmssl.akamaized.net/images/wappen/head/1416.png?lm=1688037499
