,name,id,logo_link
0,Manchester United,manchester-united,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903
1,Arsenal FC,fc-arsenal,https://tmssl.akamaized.net/images/wappen/head/11.png?lm=1489787850
2,Liverpool FC,fc-liverpool,https://tmssl.akamaized.net/images/wappen/head/31.png?lm=1456567819
3,Chelsea FC,fc-chelsea,https://tmssl.akamaized.net/images/wappen/head/631.png?lm=1682435911
4,Tottenham Hotspur,tottenham-hotspur,https://tmssl.akamaized.net/images/wappen/head/148.png?lm=1544345801
5,Manchester City,manchester-city,https://tmssl.akamaized.net/images/wappen/head/281.png?lm=1467356331
6,Everton FC,fc-everton,https://tmssl.akamaized.net/images/wappen/head/29.png?lm=1445949846
7,Newcastle United,newcastle-united,https://tmssl.akamaized.net/images/wappen/head/762.png?lm=1472921161
8,Aston Villa,aston-villa,https://tmssl.akamaized.net/images/wappen/head/405.png?lm=1469443765
9,West Ham United,west-ham-united,https://tmssl.akamaized.net/images/wappen/head/379.png?lm=1464675260
10,Southampton FC,fc-southampton,https://tmssl.akamaized.net/images/wappen/head/180.png?lm=1444560086
11,Blackburn Rovers,blackburn-rovers,https://tmssl.akamaized.net/images/wappen/head/164.png?lm=1495228542
12,Leicester City,leicester-city,https://tmssl.akamaized.net/images/wappen/head/1003.png?lm=1472229265
13,Leeds United,leeds-united,https://tmssl.akamaized.net/images/wappen/head/399.png?lm=1645652224
14,Fulham FC,fc-fulham,https://tmssl.akamaized.net/images/wappen/head/931.png?lm=1556831687
15,Middlesbrough FC,fc-middlesbrough,https://tmssl.akamaized.net/images/wappen/head/641.png?lm=1697546042
16,Crystal Palace,crystal-palace,https://tmssl.akamaized.net/images/wappen/head/873.png?lm=1457723287
17,Sunderland AFC,afc-sunderland,https://tmssl.akamaized.net/images/wappen/head/289.png?lm=1485645633
18,Bolton Wanderers,bolton-wanderers,https://tmssl.akamaized.net/images/wappen/head/355.png?lm=1407653952
19,West Bromwich Albion,west-bromwich-albion,https://tmssl.akamaized.net/images/wappen/head/984.png?lm=1457991758
20,Stoke City,stoke-city,https://tmssl.akamaized.net/images/wappen/head/512.png?lm=1472243727
21,Wolverhampton Wanderers,wolverhampton-wanderers,https://tmssl.akamaized.net/images/wappen/head/543.png?lm=1467496784
22,Coventry City,coventry-city,https://tmssl.akamaized.net/images/wappen/head/990.png?lm=1684518179
23,Norwich City,norwich-city,https://tmssl.akamaized.net/images/wappen/head/1123.png?lm=1655469640
24,Sheffield Wednesday,sheffield-wednesday,https://tmssl.akamaized.net/images/wappen/head/1035.png?lm=1643214896
25,Wimbledon FC (- 2004),wimbledon-fc-2004-,https://tmssl.akamaized.net/images/wappen/head/114309.png?lm=1699017899
26,Charlton Athletic,charlton-athletic,https://tmssl.akamaized.net/images/wappen/head/358.png?lm=1448178743
27,Burnley FC,fc-burnley,https://tmssl.akamaized.net/images/wappen/head/1132.png?lm=1686818840
28,Wigan Athletic,wigan-athletic,https://tmssl.akamaized.net/images/wappen/head/1071.png?lm=1407653830
29,Brighton & Hove Albion,brighton-amp-hove-albion,https://tmssl.akamaized.net/images/wappen/head/1237.png?lm=1492718902
30,Swansea City,swansea-city,https://tmssl.akamaized.net/images/wappen/head/2288.png?lm=1658400285
31,Queens Park Rangers,queens-park-rangers,https://tmssl.akamaized.net/images/wappen/head/1039.png?lm=1464680692
32,Nottingham Forest,nottingham-forest,https://tmssl.akamaized.net/images/wappen/head/703.png?lm=1598890289
33,Birmingham City,birmingham-city,https://tmssl.akamaized.net/images/wappen/head/337.png?lm=1672321276
34,AFC Bournemouth,afc-bournemouth,https://tmssl.akamaized.net/images/wappen/head/989.png?lm=1457991811
35,Portsmouth FC,fc-portsmouth,https://tmssl.akamaized.net/images/wappen/head/1020.png?lm=1565282045
36,Watford FC,fc-watford,https://tmssl.akamaized.net/images/wappen/head/1010.png?lm=1468103673
37,Derby County,derby-county,https://tmssl.akamaized.net/images/wappen/head/22.png?lm=1407654006
38,Sheffield United,sheffield-united,https://tmssl.akamaized.net/images/wappen/head/350.png?lm=1409254138
39,Ipswich Town,ipswich-town,https://tmssl.akamaized.net/images/wappen/head/677.png?lm=1407655249
40,Hull City,hull-city,https://tmssl.akamaized.net/images/wappen/head/3008.png?lm=1562662491
41,Brentford FC,fc-brentford,https://tmssl.akamaized.net/images/wappen/head/1148.png?lm=1625150543
42,Reading FC,fc-reading,https://tmssl.akamaized.net/images/wappen/head/1032.png?lm=1457723329
43,Oldham Athletic,oldham-athletic,https://tmssl.akamaized.net/images/wappen/head/1078.png?lm=1641223901
44,Cardiff City,cardiff-city,https://tmssl.akamaized.net/images/wappen/head/603.png?lm=1478337063
45,Bradford City,bradford-city,https://tmssl.akamaized.net/images/wappen/head/1027.png?lm=1455219590
46,Huddersfield Town,huddersfield-town,https://tmssl.akamaized.net/images/wappen/head/1110.png?lm=1567439677
47,Blackpool FC,fc-blackpool,https://tmssl.akamaized.net/images/wappen/head/1181.png?lm=1407655321
48,Barnsley FC,fc-barnsley,https://tmssl.akamaized.net/images/wappen/head/349.png?lm=1574162298
49,Swindon Town,swindon-town,https://tmssl.akamaized.net/images/wappen/head/352.png?lm=1461358647
50,Luton Town,luton-town,https://tmssl.akamaized.net/images/wappen/head/1031.png?lm=1457723228
