,name,id,logo_link
0,Juventus FC,juventus-turin,https://tmssl.akamaized.net/images/wappen/head/506.png?lm=1626441487
1,Inter Milan,inter-mailand,https://tmssl.akamaized.net/images/wappen/head/46.png?lm=1618900989
2,AC Milan,ac-mailand,https://tmssl.akamaized.net/images/wappen/head/5.png?lm=1605166627
3,AS Roma,as-rom,https://tmssl.akamaized.net/images/wappen/head/12.png?lm=1701079293
4,ACF Fiorentina,ac-florenz,https://tmssl.akamaized.net/images/wappen/head/430.png?lm=1656660160
5,SSC Napoli,ssc-neapel,https://tmssl.akamaized.net/images/wappen/head/6195.png?lm=1688982522
6,SS Lazio,lazio-rom,https://tmssl.akamaized.net/images/wappen/head/398.png?lm=1601537785
7,Torino FC,fc-turin,https://tmssl.akamaized.net/images/wappen/head/416.png?lm=1438548174
8,Bologna FC 1909,fc-bologna,https://tmssl.akamaized.net/images/wappen/head/1025.png?lm=1626441324
9,UC Sampdoria,sampdoria-genua,https://tmssl.akamaized.net/images/wappen/head/1038.png?lm=1520934353
10,Atalanta BC,atalanta-bergamo,https://tmssl.akamaized.net/images/wappen/head/800.png?lm=1438547428
11,Genoa CFC,genua-cfc,https://tmssl.akamaized.net/images/wappen/head/252.png?lm=1655305880
12,Udinese Calcio,udinese-calcio,https://tmssl.akamaized.net/images/wappen/head/410.png?lm=1688982584
13,Cagliari Calcio,cagliari-calcio,https://tmssl.akamaized.net/images/wappen/head/1390.png?lm=1626441409
14,Parma Calcio 1913,parma-calcio-1913,https://tmssl.akamaized.net/images/wappen/head/130.png?lm=1530945992
15,Palermo FC,palermo-fc,https://tmssl.akamaized.net/images/wappen/head/458.png?lm=1701339000
16,Hellas Verona,hellas-verona,https://tmssl.akamaized.net/images/wappen/head/276.png?lm=1617228746
17,LR Vicenza,lr-vicenza-virtus,https://tmssl.akamaized.net/images/wappen/head/2655.png?lm=1577438699
18,SSC Bari,ssc-bari,https://tmssl.akamaized.net/images/wappen/head/332.png?lm=1536916058
19,US Triestina,us-triestina,https://tmssl.akamaized.net/images/wappen/head/4271.png?lm=1637078003
20,Brescia Calcio,brescia-calcio,https://tmssl.akamaized.net/images/wappen/head/19.png?lm=1511961167
21,Chievo Verona,chievo-verona,https://tmssl.akamaized.net/images/wappen/head/862.png?lm=1454498424
22,SPAL,spal,https://tmssl.akamaized.net/images/wappen/head/2722.png?lm=1626441491
23,US Livorno 1915,as-livorno,https://tmssl.akamaized.net/images/wappen/head/1210.png?lm=1671177526
24,Calcio Padova,calcio-padova,https://tmssl.akamaized.net/images/wappen/head/3037.png?lm=1661941959
25,Catania FC,catania-calcio,https://tmssl.akamaized.net/images/wappen/head/1627.png?lm=1692861464
26,US Lecce,us-lecce,https://tmssl.akamaized.net/images/wappen/head/1005.png?lm=1689169528
27,FC Empoli,fc-empoli,https://tmssl.akamaized.net/images/wappen/head/749.png?lm=1626441481
28,Ascoli Calcio,ascoli-calcio,https://tmssl.akamaized.net/images/wappen/head/408.png?lm=1534435837
29,US Alessandria Calcio 1912,us-alessandria-calcio-1912,https://tmssl.akamaized.net/images/wappen/head/2721.png?lm=1654684310
30,Modena FC,modena-fc-2018,https://tmssl.akamaized.net/images/wappen/head/1385.png?lm=1657012115
31,AC Perugia Calcio,ac-perugia-calcio,https://tmssl.akamaized.net/images/wappen/head/839.png?lm=1438548482
32,US Sassuolo,us-sassuolo,https://tmssl.akamaized.net/images/wappen/head/6574.png?lm=1601389908
33,Novara FC,novara-calcio,https://tmssl.akamaized.net/images/wappen/head/6692.png?lm=1631256491
34,Como 1907,como-1907,https://tmssl.akamaized.net/images/wappen/head/1047.png?lm=1565704078
35,Aurora Pro Patria,aurora-pro-patria,https://tmssl.akamaized.net/images/wappen/head/4146.png?lm=1695305775
36,Venezia FC,venezia-fc,https://tmssl.akamaized.net/images/wappen/head/607.png?lm=1657392944
37,Calcio Foggia 1920,calcio-foggia-1920,https://tmssl.akamaized.net/images/wappen/head/704.png?lm=1656022770
38,Cesena FC,cesena-fc,https://tmssl.akamaized.net/images/wappen/head/1429.png?lm=1539765803
39,LFA Reggio Calabria,reggina-1914,https://tmssl.akamaized.net/images/wappen/head/1386.png?lm=1695138135
40,Siena FC,acn-siena-1904,https://tmssl.akamaized.net/images/wappen/head/1387.png?lm=1707927741
41,US Avellino 1912,us-avellino-1912,https://tmssl.akamaized.net/images/wappen/head/2331.png?lm=1446296368
42,Lucchese 1905,lucchese-1905,https://tmssl.akamaized.net/images/wappen/head/1253.png?lm=1572343042
43,Piacenza Calcio 1919,piacenza-calcio-1919,https://tmssl.akamaized.net/images/wappen/head/1408.png?lm=1438074822
44,FC Pro Vercelli 1892,fc-pro-vercelli-1892,https://tmssl.akamaized.net/images/wappen/head/26789.png?lm=1520934045
45,Mantova 1911,mantova-1911,https://tmssl.akamaized.net/images/wappen/head/2581.png?lm=1505651157
46,US Cremonese,us-cremonese,https://tmssl.akamaized.net/images/wappen/head/2239.png?lm=1501770762
47,Pisa Sporting Club,ac-pisa-1909,https://tmssl.akamaized.net/images/wappen/head/4172.png?lm=1693294828
48,US Catanzaro,us-catanzaro,https://tmssl.akamaized.net/images/wappen/head/4097.png?lm=1567460762
49,Varese Calcio,varese-calcio,https://tmssl.akamaized.net/images/wappen/head/4361.png?lm=1595843597
50,US Salernitana 1919,us-salernitana-1919,https://tmssl.akamaized.net/images/wappen/head/380.png?lm=1601390035
51,Associazione Calcio Liguria,associazione-calcio-liguria,https://tmssl.akamaized.net/images/wappen/head/42864.png?lm=1520943481
52,ACR Messina,acr-messina,https://tmssl.akamaized.net/images/wappen/head/1104.png?lm=1569236748
53,Delfino Pescara 1936,delfino-pescara-1936,https://tmssl.akamaized.net/images/wappen/head/2921.png?lm=1517054151
54,Città di Casale,fbc-casale,https://tmssl.akamaized.net/images/wappen/head/4147.png?lm=1698063014
55,Spezia Calcio,spezia-calcio,https://tmssl.akamaized.net/images/wappen/head/3522.png?lm=1692256435
56,SG Sampierdarenese,sg-sampierdarenese,https://tmssl.akamaized.net/images/wappen/head/42865.png?lm=1456843821
57,AC Monza,ac-monza,https://tmssl.akamaized.net/images/wappen/head/2919.png?lm=1562072734
58,Calcio Lecco 1912,calcio-lecco-1912,https://tmssl.akamaized.net/images/wappen/head/5514.png?lm=1637071017
59,FC Crotone,fc-crotone,https://tmssl.akamaized.net/images/wappen/head/4083.png?lm=1520933356
60,Frosinone Calcio,frosinone-calcio,https://tmssl.akamaized.net/images/wappen/head/8970.png?lm=1438547543
61,AC Reggiana 1919,ac-reggiana-1919,https://tmssl.akamaized.net/images/wappen/head/5621.png?lm=1662025461
62,Legnano AC,legnano-ac,https://tmssl.akamaized.net/images/wappen/head/4550.png?lm=1695888844
63,Benevento Calcio,benevento-calcio,https://tmssl.akamaized.net/images/wappen/head/4171.png?lm=1434444046
64,Ternana Calcio,ternana-calcio,https://tmssl.akamaized.net/images/wappen/head/1103.png?lm=1532531645
65,AC Carpi,carpi-fc-1909,https://tmssl.akamaized.net/images/wappen/head/4102.png?lm=1695995043
66,US Ancona,us-anconitana,https://tmssl.akamaized.net/images/wappen/head/1388.png?lm=1695365561
67,US Pistoiese 1921,us-pistoiese-1921,https://tmssl.akamaized.net/images/wappen/head/1307.png?lm=1661416831
68,Treviso FBC 1993,acd-treviso,https://tmssl.akamaized.net/images/wappen/head/2251.png?lm=1695987187
