,id,name
0,fc-bayern-munchen,Bayern Munich
1,borussia-dortmund,Borussia Dortmund
2,sv-werder-bremen,SV Werder Bremen
3,vfb-stuttgart,VfB Stuttgart
4,borussia-monchengladbach,Borussia Mönchengladbach
5,hamburger-sv,Hamburger SV
6,fc-schalke-04,FC Schalke 04
7,eintracht-frankfurt,Eintracht Frankfurt
8,1-fc-koln,1.FC Köln
9,bayer-04-leverkusen,Bayer 04 Leverkusen
10,1-fc-kaiserslautern,1.FC Kaiserslautern
11,hertha-bsc,Hertha BSC
12,vfl-bochum,VfL Bochum
13,1-fc-nurnberg,1.FC Nuremberg
14,vfl-wolfsburg,VfL Wolfsburg
15,hannover-96,Hannover 96
16,msv-duisburg,MSV Duisburg
17,fortuna-dusseldorf,Fortuna Düsseldorf
18,sc-freiburg,SC Freiburg
19,karlsruher-sc,Karlsruher SC
20,eintracht-braunschweig,Eintracht Braunschweig
21,tsv-1860-munchen,TSV 1860 Munich
22,1-fsv-mainz-05,1.FSV Mainz 05
23,tsg-1899-hoffenheim,TSG 1899 Hoffenheim
24,arminia-bielefeld,Arminia Bielefeld
25,kfc-uerdingen-05,KFC Uerdingen 05
26,rasenballsport-leipzig,RB Leipzig
27,fc-augsburg,FC Augsburg
28,fc-hansa-rostock,FC Hansa Rostock
29,sv-waldhof-mannheim,SV Waldhof Mannheim
30,kickers-offenbach,Kickers Offenbach
31,rot-weiss-essen,Rot-Weiss Essen
32,fc-st-pauli,FC St. Pauli
33,1-fc-union-berlin,1.FC Union Berlin
34,fc-energie-cottbus,FC Energie Cottbus
35,alemannia-aachen,Alemannia Aachen
36,sg-wattenscheid-09,SG Wattenscheid 09
37,1-fc-saarbrucken,1.FC Saarbrücken
38,sg-dynamo-dresden,SG Dynamo Dresden
39,rot-weiss-oberhausen,Rot-Weiß Oberhausen
40,sv-darmstadt-98,SV Darmstadt 98
41,wuppertaler-sv,Wuppertaler SV
42,borussia-neunkirchen,Borussia Neunkirchen
43,fc-08-homburg,FC 08 Homburg
44,spvgg-unterhaching,SpVgg Unterhaching
45,stuttgarter-kickers,Stuttgarter Kickers
46,fc-ingolstadt-04,FC Ingolstadt 04
47,sc-paderborn-07,SC Paderborn 07
48,tennis-borussia-berlin,Tennis Borussia Berlin
49,spvgg-greuther-furth,SpVgg Greuther Fürth
50,1-fc-heidenheim-1846,1.FC Heidenheim 1846
51,ssv-ulm-1846,SSV Ulm 1846
52,sc-fortuna-koln,SC Fortuna Köln
53,preussen-munster,Preußen Münster
54,blau-weiss-90-berlin,Blau-Weiß 90 Berlin
55,1-fc-lokomotive-leipzig,1.FC Lokomotive Leipzig
56,sc-tasmania-1900-berlin,SC Tasmania 1900 Berlin (-1973)
0,manchester-united,Manchester United
1,fc-arsenal,Arsenal FC
2,fc-liverpool,Liverpool FC
3,fc-chelsea,Chelsea FC
4,tottenham-hotspur,Tottenham Hotspur
5,manchester-city,Manchester City
6,fc-everton,Everton FC
7,newcastle-united,Newcastle United
8,aston-villa,Aston Villa
9,west-ham-united,West Ham United
10,fc-southampton,Southampton FC
11,blackburn-rovers,Blackburn Rovers
12,leicester-city,Leicester City
13,leeds-united,Leeds United
14,fc-fulham,Fulham FC
15,fc-middlesbrough,Middlesbrough FC
16,crystal-palace,Crystal Palace
17,afc-sunderland,Sunderland AFC
18,bolton-wanderers,Bolton Wanderers
19,west-bromwich-albion,West Bromwich Albion
20,stoke-city,Stoke City
21,wolverhampton-wanderers,Wolverhampton Wanderers
22,coventry-city,Coventry City
23,norwich-city,Norwich City
24,sheffield-wednesday,Sheffield Wednesday
25,wimbledon-fc-2004-,Wimbledon FC (- 2004)
26,charlton-athletic,Charlton Athletic
27,fc-burnley,Burnley FC
28,wigan-athletic,Wigan Athletic
29,brighton-amp-hove-albion,Brighton & Hove Albion
30,swansea-city,Swansea City
31,queens-park-rangers,Queens Park Rangers
32,nottingham-forest,Nottingham Forest
33,birmingham-city,Birmingham City
34,afc-bournemouth,AFC Bournemouth
35,fc-portsmouth,Portsmouth FC
36,fc-watford,Watford FC
37,derby-county,Derby County
38,sheffield-united,Sheffield United
39,ipswich-town,Ipswich Town
40,hull-city,Hull City
41,fc-brentford,Brentford FC
42,fc-reading,Reading FC
43,oldham-athletic,Oldham Athletic
44,cardiff-city,Cardiff City
45,bradford-city,Bradford City
46,huddersfield-town,Huddersfield Town
47,fc-blackpool,Blackpool FC
48,fc-barnsley,Barnsley FC
49,swindon-town,Swindon Town
50,luton-town,Luton Town
0,real-madrid,Real Madrid
1,fc-barcelona,FC Barcelona
2,atletico-madrid,Atlético de Madrid
3,athletic-bilbao,Athletic Bilbao
4,fc-valencia,Valencia CF
5,fc-sevilla,Sevilla FC
6,espanyol-barcelona,RCD Espanyol Barcelona
7,real-sociedad-san-sebastian,Real Sociedad
8,real-betis-sevilla,Real Betis Balompié
9,real-saragossa,Real Zaragoza
10,celta-vigo,Celta de Vigo
11,deportivo-la-coruna,Deportivo de La Coruña
12,real-valladolid,Real Valladolid CF
13,ca-osasuna,CA Osasuna
14,sporting-gijon,Sporting Gijón
15,racing-santander,Racing Santander
16,fc-malaga,Málaga CF
17,real-oviedo,Real Oviedo
18,rcd-mallorca,RCD Mallorca
19,ud-las-palmas,UD Las Palmas
20,fc-villarreal,Villarreal CF
21,fc-granada,Granada CF
22,fc-elche,Elche CF
23,fc-getafe,Getafe CF
24,rayo-vallecano,Rayo Vallecano
25,deportivo-alaves,Deportivo Alavés
26,hercules-alicante,Hércules CF
27,ud-levante,Levante UD
28,cd-teneriffa,CD Tenerife
29,fc-cadiz,Cádiz CF
30,real-murcia,Real Murcia CF
31,ce-sabadell,CE Sabadell FC
32,ud-salamanca-aufgel-,UD Salamanca (- 2013)
33,cd-castellon,CD Castellón
34,cd-logrones-aufgel-,CD Logroñés (- 2009)
35,fc-cordoba,Córdoba CF
36,albacete-balompie,Albacete Balompié
37,sd-eibar,SD Eibar
38,ud-almeria,UD Almería
39,burgos-cf,Burgos CF
40,fc-girona,Girona FC
41,pontevedra-cf,Pontevedra CF
42,sd-compostela,SD Compostela
43,recreativo-huelva,Recreativo Huelva
44,cd-leganes,CD Leganés
45,arenas-club,Arenas Club
46,cd-numancia,CD Numancia
47,real-burgos-cf,Real Burgos CF (-2021)
48,gimnastic-de-tarragona,Gimnàstic de Tarragona
49,cd-alcoyano,CD Alcoyano
50,real-jaen,Real Jaén CF
51,cf-extremadura-aufgel-,CF Extremadura (- 2010)
52,cp-merida-aufgel-,CP Mérida (- 2000)
53,real-union-club,Real Unión Club
54,ad-almeria-aufgel-,AD Almería (-1982)
55,sd-huesca,SD Huesca
56,ce-europa,CE Europa
