Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Saman Ghoddos,ostersunds-fk,amiens-sc,SE1,FR1,4000000.0
18/19,Juan Otero,club-estudiantes-de-la-plata,amiens-sc,AR1N,FR1,2140000.0
18/19,Rafal Kurzawa,gornik-zabrze,amiens-sc,PL1,FR1,850000.0
18/19,Tanguy Ndombélé,amiens-sc,olympique-lyon,FR1,FR1,8000000.0
18/19,Guessouma Fofana,amiens-sc,ea-guingamp,FR1,FR1,1000000.0
18/19,Harrison Manzala,amiens-sc,sco-angers,FR1,FR1,1000000.0
18/19,Jeff Reine-Adélaïde,fc-arsenal-u23,sco-angers,,FR1,1600000.0
18/19,Vincent Pajot,as-saint-etienne,sco-angers,FR1,FR1,1000000.0
18/19,Harrison Manzala,amiens-sc,sco-angers,FR1,FR1,1000000.0
18/19,Dorian Bertrand,so-cholet,sco-angers,FR3,FR1,800000.0
18/19,Elhadji Pape Diaw,korona-kielce,sco-angers,PL1,FR1,50000.0
18/19,Karl Toko Ekambi,sco-angers,fc-villarreal,FR1,ES1,18000000.0
18/19,Enzo Crivelli,sco-angers,sm-caen,FR1,FR1,3000000.0
18/19,Samuel Kalu,kaa-gent,fc-girondins-bordeaux,BE1,FR1,8500000.0
18/19,Yacine Adli,fc-paris-saint-germain,fc-girondins-bordeaux,FR1,FR1,5500000.0
18/19,Toma Bašić,hnk-hajduk-split,fc-girondins-bordeaux,KR1,FR1,3800000.0
18/19,Josh Maja,afc-sunderland,fc-girondins-bordeaux,GB3,FR1,1500000.0
18/19,Raoul Bellanova,ac-mailand-u19,fc-girondins-bordeaux,IJ1,FR1,770000.0
18/19,Malcom,fc-girondins-bordeaux,fc-barcelona,FR1,ES1,41000000.0
18/19,Diego Rolán,fc-girondins-bordeaux,deportivo-la-coruna,FR1,ES2,6000000.0
18/19,Gaëtan Laborde,fc-girondins-bordeaux,montpellier-hsc,FR1,FR1,3000000.0
18/19,Enzo Crivelli,sco-angers,sm-caen,FR1,FR1,3000000.0
18/19,Yacine Bammou,fc-nantes,sm-caen,FR1,FR1,2700000.0
18/19,Casimir Ninga,montpellier-hsc,sm-caen,FR1,FR1,2000000.0
18/19,Fayçal Fajr,fc-getafe,sm-caen,ES1,FR1,1500000.0
18/19,Prince Oniangué,wolverhampton-wanderers,sm-caen,GB1,FR1,500000.0
18/19,Malik Tchokounté,paris-fc,sm-caen,FR2,FR1,250000.0
18/19,Yann Karamoh,sm-caen,inter-mailand,FR1,IT1,6500000.0
18/19,Frédéric Guilbert,sm-caen,aston-villa,FR1,GB2,5000000.0
18/19,Ivan Santini,sm-caen,rsc-anderlecht,FR1,BE1,3000000.0
18/19,Sory Kaba,fc-elche,dijon-fco,ES2,FR1,4000000.0
18/19,Naïm Sliti,losc-lille,dijon-fco,FR1,FR1,2000000.0
18/19,Nayef Aguerd,fus-rabat,dijon-fco,MAR1,FR1,1600000.0
18/19,Rúnar Alex Rúnarsson,fc-nordsjaelland,dijon-fco,DKMR,FR1,1600000.0
18/19,Baptiste Reynet,dijon-fco,fc-toulouse,FR1,FR1,4000000.0
18/19,Sikou Niakaté,fc-valenciennes,ea-guingamp,FR2,FR1,2500000.0
18/19,Guessouma Fofana,amiens-sc,ea-guingamp,FR1,FR1,1000000.0
18/19,Clément Grenier,ea-guingamp,fc-stade-rennes,FR1,FR1,4000000.0
18/19,Rafael Leão,sporting-lissabon,losc-lille,PO1,FR1,20200000.0
18/19,Jonathan Ikoné,fc-paris-saint-germain,losc-lille,FR1,FR1,5000000.0
18/19,Zeki Çelik,istanbulspor,losc-lille,TR2,FR1,2500000.0
18/19,Loïc Rémy,ud-las-palmas,losc-lille,ES2,FR1,1400000.0
18/19,Yves Bissouma,losc-lille,brighton-amp-hove-albion,FR1,GB1,16800000.0
18/19,Ibrahim Amadou,losc-lille,fc-sevilla,FR1,ES1,14400000.0
18/19,Kévin Malcuit,losc-lille,ssc-neapel,FR1,IT1,12000000.0
18/19,Fodé Ballo-Touré,losc-lille,as-monaco,FR1,FR1,11000000.0
18/19,Hamza Mendyl,losc-lille,fc-schalke-04,FR1,L1,6000000.0
18/19,Lebo Mothiba,losc-lille,rc-strassburg-alsace,FR1,FR1,4000000.0
18/19,Naïm Sliti,losc-lille,dijon-fco,FR1,FR1,2000000.0
18/19,Stoppila Sunzu,losc-lille,fc-metz,FR1,FR2,800000.0
18/19,Éder,losc-lille,lokomotiv-moskau,FR1,RU1,500000.0
18/19,Jean Butez,losc-lille,royal-excel-mouscron,FR1,BE1,200000.0
18/19,Moussa Dembélé,celtic-glasgow,olympique-lyon,SC1,FR1,22000000.0
18/19,Jason Denayer,manchester-city,olympique-lyon,GB1,FR1,10000000.0
18/19,Tanguy Ndombélé,amiens-sc,olympique-lyon,FR1,FR1,8000000.0
18/19,Lenny Pintor,stade-brest-29,olympique-lyon,FR2,FR1,5000000.0
18/19,Oumar Solet,stade-laval,olympique-lyon,FR3,FR1,1450000.0
18/19,Mariano Díaz,olympique-lyon,real-madrid,FR1,ES1,21500000.0
18/19,Willem Geubbels,olympique-lyon,as-monaco,FR1,FR1,20000000.0
18/19,Mouctar Diakhaby,olympique-lyon,fc-valencia,FR1,ES1,15000000.0
18/19,Myziane Maolida,olympique-lyon,ogc-nizza,FR1,FR1,10000000.0
18/19,Sergi Darder,olympique-lyon,espanyol-barcelona,FR1,ES1,8000000.0
18/19,Jean-Philippe Mateta,olympique-lyon,1-fsv-mainz-05,FR1,L1,8000000.0
18/19,Nicolas N'Koulou,olympique-lyon,fc-turin,FR1,IT1,3500000.0
18/19,Aldo Kalulu,olympique-lyon,fc-basel-1893,FR1,C1,2100000.0
18/19,Romain Del Castillo,olympique-lyon,fc-stade-rennes,FR1,FR1,2000000.0
18/19,Kevin Strootman,as-rom,olympique-marseille,IT1,FR1,25000000.0
18/19,Duje Caleta-Car,red-bull-salzburg,olympique-marseille,A1,FR1,19000000.0
18/19,Nemanja Radonjic,roter-stern-belgrad,olympique-marseille,,FR1,12000000.0
18/19,Jordan Amavi,aston-villa,olympique-marseille,GB2,FR1,10000000.0
18/19,Frank Anguissa,olympique-marseille,fc-fulham,FR1,GB1,24850000.0
18/19,Rémy Cabella,olympique-marseille,as-saint-etienne,FR1,FR1,6000000.0
18/19,Matheus Dória,olympique-marseille,santos-laguna,FR1,,2000000.0
18/19,Aleksandr Golovin,zska-moskau,as-monaco,RU1,FR1,30000000.0
18/19,Willem Geubbels,olympique-lyon,as-monaco,FR1,FR1,20000000.0
18/19,Benjamin Henrichs,bayer-04-leverkusen,as-monaco,L1,FR1,20000000.0
18/19,Jean-Eudes Aholou,rc-strassburg-alsace,as-monaco,FR1,FR1,14000000.0
18/19,Nacer Chadli,west-bromwich-albion,as-monaco,GB2,FR1,12000000.0
18/19,Fodé Ballo-Touré,losc-lille,as-monaco,FR1,FR1,11000000.0
18/19,Antonio Barreca,fc-turin,as-monaco,IT1,FR1,10000000.0
18/19,Cesc Fàbregas,fc-chelsea,as-monaco,GB1,FR1,9000000.0
18/19,Pelé,rio-ave-fc,as-monaco,PO1,FR1,7200000.0
18/19,Ronaël Pierre-Gabriel,as-saint-etienne,as-monaco,FR1,FR1,6000000.0
18/19,Samuel Grandsir,es-troyes-ac,as-monaco,FR2,FR1,3000000.0
18/19,Naldo,fc-schalke-04,as-monaco,L1,FR1,2000000.0
18/19,Lyle Foster,orlando-pirates,as-monaco,SFA1,FR1,1200000.0
18/19,Kylian Mbappé,as-monaco,fc-paris-saint-germain,FR1,FR1,180000000.0
18/19,Thomas Lemar,as-monaco,atletico-madrid,FR1,ES1,72000000.0
18/19,Fabinho,as-monaco,fc-liverpool,FR1,GB1,45000000.0
18/19,Terence Kongolo,as-monaco,huddersfield-town,FR1,GB1,20000000.0
18/19,Rachid Ghezzal,as-monaco,leicester-city,FR1,GB1,14000000.0
18/19,Soualiho Meïté,as-monaco,fc-turin,FR1,IT1,11500000.0
18/19,Adama Diakhaby,as-monaco,huddersfield-town,FR1,GB1,10000000.0
18/19,João Moutinho,as-monaco,wolverhampton-wanderers,FR1,GB1,5600000.0
18/19,Rúben Vinagre,as-monaco,wolverhampton-wanderers,FR1,GB1,2250000.0
18/19,Almamy Touré,as-monaco,eintracht-frankfurt,FR1,L1,750000.0
18/19,Gaëtan Laborde,fc-girondins-bordeaux,montpellier-hsc,FR1,FR1,3000000.0
18/19,Florent Mollet,fc-metz,montpellier-hsc,FR2,FR1,2600000.0
18/19,Junior Sambia,chamois-niortais-fc,montpellier-hsc,FR2,FR1,2000000.0
18/19,Facundo Píriz,akhmat-grozny,montpellier-hsc,RU1,FR1,1000000.0
18/19,Mathías Suárez,defensor-sc,montpellier-hsc,,FR1,950000.0
18/19,Mihailo Ristic,fk-krasnodar,montpellier-hsc,RU1,FR1,600000.0
18/19,Nordi Mukiele,montpellier-hsc,rasenballsport-leipzig,FR1,L1,16000000.0
18/19,Jérôme Roussillon,montpellier-hsc,vfl-wolfsburg,FR1,L1,5000000.0
18/19,Casimir Ninga,montpellier-hsc,sm-caen,FR1,FR1,2000000.0
18/19,Anthony Limbombe,fc-brugge,fc-nantes,BE1,FR1,8250000.0
18/19,Lucas Evangelista,udinese-calcio,fc-nantes,IT1,FR1,3000000.0
18/19,Fábio,fc-middlesbrough,fc-nantes,GB2,FR1,2000000.0
18/19,Charles Traoré,es-troyes-ac,fc-nantes,FR2,FR1,500000.0
