Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Yuri Berchiche,fc-paris-saint-germain,athletic-bilbao,FR1,ES1,24000000.0
18/19,Ibai Gómez,deportivo-alaves,athletic-bilbao,ES1,ES1,4000000.0
18/19,Ander Capa,sd-eibar,athletic-bilbao,ES1,ES1,3000000.0
18/19,Cristian Ganea,fc-viitorul-constanta,athletic-bilbao,RO1,ES1,1000000.0
18/19,Kenan Kodro,fc-kopenhagen,athletic-bilbao,DKMR,ES1,900000.0
18/19,Kepa Arrizabalaga,athletic-bilbao,fc-chelsea,ES1,GB1,80000000.0
18/19,Thomas Lemar,as-monaco,atletico-madrid,FR1,ES1,72000000.0
18/19,Gelson Martins,sporting-lissabon,atletico-madrid,PO1,ES1,22000000.0
18/19,Rodri,fc-villarreal,atletico-madrid,ES1,ES1,20000000.0
18/19,Nikola Kalinic,ac-mailand,atletico-madrid,IT1,ES1,14500000.0
18/19,Santiago Arias,psv-eindhoven,atletico-madrid,NL1,ES1,11000000.0
18/19,Jonny Otto,celta-vigo,atletico-madrid,ES1,ES1,7000000.0
18/19,Nehuén Pérez,argentinos-juniors-u20,atletico-madrid,-,ES1,2000000.0
18/19,Antonio Adán,real-betis-sevilla,atletico-madrid,ES1,ES1,1500000.0
18/19,Jonny Otto,atletico-madrid,wolverhampton-wanderers,ES1,GB1,21000000.0
18/19,Kévin Gameiro,atletico-madrid,fc-valencia,ES1,ES1,16000000.0
18/19,Diogo Jota,atletico-madrid,wolverhampton-wanderers,ES1,GB1,14000000.0
18/19,Youssef En-Nesyri,fc-malaga,cd-leganes,ES2,ES1,6000000.0
18/19,José Manuel Arnáiz,fc-barcelona-b,cd-leganes,ES3C,ES1,5000000.0
18/19,Vasyl Kravets,cd-lugo,cd-leganes,ES2,ES1,2500000.0
18/19,Recio,fc-malaga,cd-leganes,ES2,ES1,1500000.0
18/19,Josua Mejías,carabobo-fc,cd-leganes,VZ1C,ES1,450000.0
18/19,Facundo García,club-olimpo,cd-leganes,ARG2,ES1,350000.0
18/19,Diego Rico,cd-leganes,afc-bournemouth,ES1,GB1,15000000.0
18/19,Gabriel Pires,cd-leganes,benfica-lissabon,ES1,PO1,9600000.0
18/19,John Guidetti,celta-vigo,deportivo-alaves,ES1,ES1,4000000.0
18/19,Patrick Twumasi,fc-astana,deportivo-alaves,KAS1,ES1,3000000.0
18/19,Ximo Navarro,ud-las-palmas,deportivo-alaves,ES2,ES1,1500000.0
18/19,Tomás Pina,fc-brugge,deportivo-alaves,BE1,ES1,1500000.0
18/19,Rubén Sobrino,deportivo-alaves,fc-valencia,ES1,ES1,5000000.0
18/19,Ibai Gómez,deportivo-alaves,athletic-bilbao,ES1,ES1,4000000.0
18/19,Malcom,fc-girondins-bordeaux,fc-barcelona,FR1,ES1,41000000.0
18/19,Clément Lenglet,fc-sevilla,fc-barcelona,ES1,ES1,35900000.0
18/19,Arthur Melo,gremio-porto-alegre,fc-barcelona,BRA1,ES1,31000000.0
18/19,Arturo Vidal,fc-bayern-munchen,fc-barcelona,L1,ES1,18000000.0
18/19,Emerson Royal,clube-atletico-mineiro,fc-barcelona,BRA1,ES1,12000000.0
18/19,Jean-Clair Todibo,fc-toulouse,fc-barcelona,FR1,ES1,1000000.0
18/19,Paulinho,fc-barcelona,guangzhou-fc,ES1,CSL,42000000.0
18/19,Yerry Mina,fc-barcelona,fc-everton,ES1,GB1,30250000.0
18/19,Lucas Digne,fc-barcelona,fc-everton,ES1,GB1,20200000.0
