Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Riyad Mahrez,leicester-city,manchester-city,GB1,GB1,67800000.0
18/19,Ante Palaversa,hnk-hajduk-split,manchester-city,KR1,GB1,6300000.0
18/19,Philippe Sandler,pec-zwolle,manchester-city,NL1,GB1,2500000.0
18/19,Ko Itakura,kawasaki-frontale,manchester-city,JAP1,GB1,1100000.0
18/19,Daniel Arzani,melbourne-city-fc,manchester-city,AUS1,GB1,890000.0
18/19,Brahim Díaz,manchester-city,real-madrid,GB1,ES1,17000000.0
18/19,Angus Gunn,manchester-city,fc-southampton,GB1,GB1,11300000.0
18/19,Jason Denayer,manchester-city,olympique-lyon,GB1,FR1,10000000.0
18/19,Pablo Maffeo,manchester-city,vfb-stuttgart,GB1,L1,9000000.0
18/19,Joe Hart,manchester-city,fc-burnley,GB1,GB1,3900000.0
18/19,Bersant Celina,manchester-city,swansea-city,GB1,GB2,3400000.0
18/19,Olarenwaju Kayode,manchester-city,shakhtar-donetsk,GB1,UKR1,3000000.0
18/19,Fred,shakhtar-donetsk,manchester-united,UKR1,GB1,59000000.0
18/19,Diogo Dalot,fc-porto,manchester-united,PO1,GB1,22000000.0
18/19,Lee Grant,stoke-city,manchester-united,GB2,GB1,1700000.0
18/19,Daley Blind,manchester-united,ajax-amsterdam,GB1,NL1,16000000.0
18/19,Sam Johnstone,manchester-united,west-bromwich-albion,GB1,GB2,7350000.0
18/19,Marouane Fellaini,manchester-united,shandong-taishan,GB1,CSL,7200000.0
18/19,Mousa Dembélé,tottenham-hotspur,guangzhou-city,GB1,CSL,5350000.0
18/19,Alisson,as-rom,fc-liverpool,IT1,GB1,62500000.0
18/19,Naby Keïta,rasenballsport-leipzig,fc-liverpool,L1,GB1,60000000.0
18/19,Fabinho,as-monaco,fc-liverpool,FR1,GB1,45000000.0
18/19,Xherdan Shaqiri,stoke-city,fc-liverpool,GB2,GB1,14700000.0
18/19,Dominic Solanke,fc-liverpool,afc-bournemouth,GB1,GB1,21200000.0
18/19,Danny Ward,fc-liverpool,leicester-city,GB1,GB1,14000000.0
18/19,Ragnar Klavan,fc-liverpool,cagliari-calcio,GB1,IT1,1520000.0
18/19,Kepa Arrizabalaga,athletic-bilbao,fc-chelsea,ES1,GB1,80000000.0
18/19,Christian Pulisic,borussia-dortmund,fc-chelsea,L1,GB1,64000000.0
18/19,Jorginho,ssc-neapel,fc-chelsea,IT1,GB1,57000000.0
