Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Bryan Cristante,benfica-lissabon,atalanta-bergamo,PO1,IT1,9500000.0
18/19,Davide Bettella,inter-mailand,atalanta-bergamo,IT1,IT1,8500000.0
18/19,Marco Carraro,inter-mailand,atalanta-bergamo,IT1,IT1,5000000.0
18/19,Marco Tumminello,as-rom,atalanta-bergamo,IT1,IT1,5000000.0
18/19,Pierluigi Gollini,aston-villa,atalanta-bergamo,GB2,IT1,4400000.0
18/19,Roger Ibañez,fluminense-rio-de-janeiro,atalanta-bergamo,BRA1,IT1,4150000.0000000005
18/19,Arkadiusz Reca,wisla-plock,atalanta-bergamo,PL1,IT1,3700000.0
18/19,Matteo Salvi,ac-pisa-1909-u19,atalanta-bergamo,,IT1,50000.0
18/19,Jasmin Kurtic,atalanta-bergamo,spal,IT1,IT1,5300000.0
18/19,Alberto Paloschi,atalanta-bergamo,spal,IT1,IT1,4000000.0
18/19,Simone Emmanuello,atalanta-bergamo,juventus-turin-u23,IT1,IT3A,850000.0
18/19,Giuseppe De Luca,atalanta-bergamo,virtus-entella,IT1,IT3A,250000.0
18/19,Lukasz Skorupski,as-rom,fc-bologna,IT1,IT1,9000000.0
18/19,Diego Falcinelli,us-sassuolo,fc-bologna,IT1,IT1,7000000.0
18/19,Federico Santander,fc-kopenhagen,fc-bologna,DKMR,IT1,6500000.0
18/19,Mattias Svanberg,malmo-ff,fc-bologna,SE1,IT1,4500000.0
18/19,Felipe Avenatti,sportivo-luqueno,fc-bologna,,IT1,2500000.0
18/19,Arturo Calabresi,as-rom,fc-bologna,IT1,IT1,200000.0
18/19,Caio Vinicius Pirana,ac-campodarsego,fc-bologna,IT4C,IT1,100000.0
18/19,Simone Verdi,fc-bologna,ssc-neapel,IT1,IT1,24500000.0
18/19,Federico Di Francesco,fc-bologna,us-sassuolo,IT1,IT1,7450000.0
18/19,Adam Masina,fc-bologna,fc-watford,IT1,GB1,5000000.0
18/19,Antonio Mirante,fc-bologna,as-rom,IT1,IT1,4000000.0
18/19,Bruno Petkovic,fc-bologna,gnk-dinamo-zagreb,IT1,KR1,1000000.0
18/19,Giancarlo González,fc-bologna,los-angeles-galaxy,IT1,,931000.0
18/19,Marios Ikonomou,fc-bologna,aek-athen,IT1,GR1,700000.0
18/19,Filippo Falco,fc-bologna,us-lecce,IT1,IT2,300000.0
18/19,Deian Boldor,fc-bologna,hellas-verona,IT1,IT2,100000.0
18/19,Filip Bradaric,hnk-rijeka,cagliari-calcio,KR1,IT1,5900000.0
18/19,Lucas Castro,chievo-verona,cagliari-calcio,IT1,IT1,5900000.0
18/19,Kiril Despodov,zska-sofia,cagliari-calcio,,IT1,4000000.0
