,Unnamed: 0,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,From_Country,new_distinction
0,0,2018,L1,ES1,9.94753098878138,51.5279541844924,0,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,0
1,1,2018,L1,ES1,8.99619035569207,51.1935781229255,1,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,1
2,2,2018,L1,ES1,8.05910817939199,50.821108868387,2,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,2
3,3,2018,L1,ES1,7.13780906462055,50.4111524172399,3,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,3
4,4,2018,L1,ES1,6.23379193754696,49.9643757563976,4,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,4
5,5,2018,L1,ES1,5.34852760706212,49.4815057781561,5,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,5
6,6,2018,L1,ES1,4.48345637181647,48.9633280975615,6,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,6
7,7,2018,L1,ES1,3.63998567689703,48.4106857742385,7,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,7
8,8,2018,L1,ES1,2.81948782395621,47.8244779407568,8,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,8
9,9,2018,L1,ES1,2.02329773851804,47.2056583397698,9,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,9
10,10,2018,L1,ES1,1.25271079809413,46.5552337723034,10,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,10
11,11,2018,L1,ES1,0.50898072464312,45.8742624597209,11,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,11
12,12,2018,L1,ES1,-0.206682455197551,45.1638523220285,12,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,12
13,13,2018,L1,ES1,-0.893114378788837,44.4251591753224,13,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,13
14,14,2018,L1,ES1,-1.54919824187341,43.6593848513106,14,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,14
15,15,2018,L1,ES1,-2.17386661558281,42.8677752419684,15,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,15
16,16,2018,L1,ES1,-2.76610318311241,42.0516182725093,16,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,16
17,17,2018,L1,ES1,-3.3249443932385,41.2122418059697,17,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,17
18,18,2018,L1,ES1,-3.84948102798739,40.3510114828145,18,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,18
19,19,2018,ES1,L1,-3.86242229864938,40.3307214714556,0,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,0
20,20,2018,ES1,L1,-2.91096616914193,40.6647687500532,1,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,1
21,21,2018,ES1,L1,-1.97375533137846,41.036914146766,2,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,2
22,22,2018,ES1,L1,-1.05231459942673,41.4465521921377,3,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,3
